region,kind,evidential_distance_d5,cereal_supply_kg_per_capita_yr,risk_score
"GeoNutrition: Ethiopia (wheat, mean loc.)",geonutrition,1.337247267216605,209.02,0.48600677968921185
"Vietnam (Mekong Delta, rice)",query,0.810169662931252,251.55,0.40664232415150015
"GeoNutrition: Malawi (rice, mean loc.)",geonutrition,1.8391868582843385,145.09,0.2762533144214328
"Bangladesh (Dhaka, rice)",query,0.4921165628941925,262.46,0.2616403060491937
"India (Punjab, wheat belt)",query,0.596087711383252,184.71,0.16586718118081928
FACE site (USA),face,1.402902413729409,129.86,0.13873532675691452
FACE site (Australia),face,1.489272270665103,115.4,0.07530345281522086
"Nigeria (Kano, cereals)",query,1.468576574860058,115.49,0.07468874548032461
FACE site (Australia),face,1.456108400578954,115.4,0.07360975130626181
FACE site (Denmark),face,0.4419258068374387,131.66,0.04528979529254453
FACE site (China),face,0.0221535910956216,218.57,0.0029487747580837016
FACE site (China),face,0.0219475470335606,218.57,0.0028664029452588236
FACE site (China),face,0.0155293789004722,218.57,0.0003005627125961778
FACE site (China),face,0.0148467481961009,218.57,2.7662207497708442e-05
FACE site (Germany),face,0.4047802398172885,100.29,0.0
FACE site (Germany),face,0.3855445859670142,100.29,0.0
FACE site (Germany),face,0.3859311538150707,100.29,0.0
FACE site (China),face,0.014777554215746,218.57,0.0
FACE site (Japan),face,0.2558315480714727,,
FACE site (Japan),face,0.3117796461922782,,
